RECIPE TITLE,TOTAL COOKING TIME,PREPARATION TIME,COOKING TIME,RECIPE SERVINGS,LEVEL,INGREDIENTS,RECIPE LINK
Achaari Paneer Pulao Recipe,30 mins,10 mins,20 mins,4.0,Easy,"['300 gms paneer, cubed', '2 cups rice', '1 tbsp oil', '1-2 tbsp lemon or green chilli pickle', '4-5  black peppercorns', '1 tsp jeera', '1 tsp fennel seeds', '1 tsp nigella (kalonji) seeds', '1  green bell pepper, chopped', '1  yellow bell pepper, chopped', '1  red bell pepper, chopped', '1/2 cup curd', '1 tsp red chilli powder', '1/2 tsp haldi', '1-2  bay leaf', '3-4 cups water', 'Salt, to taste', 'Coriander leaves, for garnish']",https://food.ndtv.com/recipe-achaari-paneer-pulao-958321
Achari Paneer Paratha Recipe,20 mins,10 mins,10 mins,2.0,Easy,"['1 Cup Wheat flour', 'Water to knead dough', '1 Tbsp Chopped ginger', '1 Tbsp Garlic', '1/2 Cup Grated paneer', '2 Tbsp achar', 'Salt to taste']",https://food.ndtv.com/recipe-achari-paneer-paratha-955294
Active Charcoal Modak Recipe,40 mins,10 mins,30 mins,4.0,Medium,"['For modak:', '2 cup gram flour (besan)', '2 tbsp semolina (rava/suji)', '1/4 tsp active charcoal', '1 1/2 tsp water', 'Oil (for frying)', 'For sugar syrup:', '1 cup sugar', '1/2 cup water', '1/4 tsp cardamom powder', '1/2 tsp lemon juice', '2 tbsp cashews (kaju), chopped']",https://food.ndtv.com/recipe-active-charcoal-modak-953933
Ada Pradhaman Recipe,40 mins,10 mins,30 mins,2.0,Medium,"['100 gms ada (rice flat pasta)', '250 gms palm jaggery (dark)', '300 ml fresh coconut milk', '3 nos cardamom', '50 gms dry coconut', '10 gms cashew nuts', '10 gms raisins', '50 ml ghee']",https://food.ndtv.com/recipe-ada-pradhaman-952489
Adrak Ka Achar Recipe,15 mins,10 mins,05 mins,2.0,Easy,"['1  Ginger', '1 tbsp Lemon', '2  Chopped green chillies', 'Salt as per taste']",https://food.ndtv.com/recipe-adrak-ka-achar-955834
Agra Paratha Thali Recipe,30 mins,15 mins,15 mins,2.0,Easy,"['1/2 Cup Wheat flour', '2 small Boiled potatoes', '1/2 cup Peas', '1/2 tsp Pepper', '1 tsp Chilli powder', '1/2 tsp Cumin powder', '1 tsp Coriander powder', '1/2 tbsp Chopped ginger', '1/2 tbsp Chopped green chiillies', 'to taste Salt']",https://food.ndtv.com/recipe-agra-paratha-thali-955179
Ajwain Aur Kalonji Ki Nimki Recipe,50 mins,20 mins,30 mins,4.0,Easy,"['150 Gram Wheat Flour', '150 gram White Flour or Maida', '2 tbsp Ajwain', '2 tbsp Black Onion Seeds', '2 tsp Baking Soda', '3 tbsp Oil or Ghee', 'to taste Salt', 'For frying  Oil']",https://food.ndtv.com/recipe-ajwain-aur-kalonji-ki-nimki-898178
Ajwaini Paneer Kofta Curry Recipe,1 hr 05 mins,15 mins,50 mins,2.0,Medium,"['100 gms cottage cheese', '40 gms singhare ka atta (water chestnut flour)', 'to taste sendha namak', '200 gms fresh tomato puree', '5 gms ajwain (caraway seed)', '20 gms deggi mirch', '10 gms coriander, chopped', '100 ml oil']",https://food.ndtv.com/recipe-ajwaini-paneer-kofta-curry-953568
Al Hachi Chicken Recipe,1 hr 10 mins,20 mins,50 mins,2.0,Medium,"['150 gms shallow fried chicken', '75 gms bottle gourd (boiled and sun dried)', '1 cup onion, small', '1 tsp garlic, chopped', 'Whole spices:', '4-5 pcs green cardamom', '2-3 pcs black cardamom', '3-4  cinnamon sticks', '1 tsp turmeric', '1 tsp deggi mirch', '1 tsp fennel seeds powder', '1 tsp dry ginger powder', '1 tsp coriander powder', 'As per taste  salt', '50 ml mustard oil', '1 tbsp desi ghee']",https://food.ndtv.com/recipe-al-hachi-chicken-953393
Almond & White Chocolate Gujiya Recipe,1 hr,15 mins,45 mins,2.0,Medium,"['For dough:', '2 cups all-purpose flour', '1/4 cup clarified butter (ghee)', '1/2 cup water', 'For filling:', '1 cup white chocolate', '1/4 cup dessicated coconut', 'A pinch of green cardamom powder', '1/2 cup almond', '1 tbsp jaggery']",https://food.ndtv.com/recipe-almond-white-chocolate-gujiya-953477
Almond And Rose Kheer Recipe,1 hr,20 mins,40 mins,4.0,Easy,"['2 Litre full fat milk', '120 gms rice', '40 gms grain sugar', '3-4  Rose water drops', '10 gms dried rose petals', '100 gms almonds', '25 gms almond slivers']",https://food.ndtv.com/recipe-almond-and-rose-kheer-954499
Almond Biscotti Recipe,40 mins,10 mins,30 mins,4.0,Easy,"['250 gm of white butter', '300 gm of brown sugar', '700 gm of whole wheat flour', '1 Tbsp of baking powder', '2 tsp of baking soda', '1/2 cup of milk', '100 gm of chopped almonds']",https://food.ndtv.com/recipe-almond-biscotti-852164
Almond Malai Kulfi Recipe,1 hr,15 mins,45 mins,4.0,Easy,"['1 Cup almonds (blanched and ground)', '1 1/2 cup condensed milk', '6 tbsp Cream', '15-20  Toasted pistachio, chopped coarsely', '1/4 cup Milk', 'A pinch of Saffron']",https://food.ndtv.com/recipe-almond-malai-kulfi-232857
Almond and Amaranth Ladoo Recipe,15 mins,05 mins,10 mins,15.0,Easy,"['50 Gram Popped amaranth seeds', '50 ml Jaggery, melted', '30 gram Almonds (slivered, unpeeled)']",https://food.ndtv.com/recipe-almond-and-amaranth-ladoo-952497
Almond and Pistachio Shrikhand Recipe,40 mins,10 mins,30 mins,4.0,Easy,"['1/2 Litre milk', 'A pinch of saffron', '500 gms hung curd', '1 1/2 tsp castor sugar', '25 gms pistachio (smashed)', '25 gms almonds (smashed)']",https://food.ndtv.com/recipe-shrikhand-1-232816
Almond and Raw Banana Galawat Recipe,30 mins,10 mins,20 mins,12.0,Medium,"['80 gms almond slivers, peeled', '150 gms raw banana (boiled)', '25 gms almond paste', '20 ml cooking cream', '15 ml refined oil', '2 gms mace powder', '2 gms cardamom powder', '20 gms ginger garlic paste', '5 gms garam masala powder', '3 gms red chilli powder', 'to taste salt', '50 gms tempura batter']",https://food.ndtv.com/recipe-almond-and-raw-banana-galawat-952800
Almond and Rose Kheer Recipe,40 mins,10 mins,30 mins,2.0,Easy,"['2 Litre full-fat milk', '120 gms rice', '40 gms grain sugar', '3-4 drops  rose water', '10 gms dried rose petals', '100 gms almonds', '25 gms almond slivers']",https://food.ndtv.com/recipe-almond-and-rose-kheer-953478
Aloo Aur Beetroot Ka Halwa Recipe,25 mins,05 mins,20 mins,3.0,Easy,"['Potato parbioled and peeled 1 medium', 'Beetroot parbioled and peeled 3 medium', '1/2 cup Sugar', '125 gram Mawa (khoya)', '1/4 tsp Green cardamom powder', '3/4 cup Milk', '3 tbsp Pure ghee', 'Almonds blanched, peeled and slivered']",https://food.ndtv.com/recipe-aloo-aur-beetroot-ka-halwa-958313
Aloo Do Pyaza Recipe,30 mins,15 mins,15 mins,2.0,Easy,"['1  Onion (diced)', '1  Onion (chopped)', '1  Large Tomato (diced)', '3-4  Potatoes (diced)', '1-2  Green Chillies', '1 tbsp Ginger-garlic paste', '1/2 tsp Cumin Seeds', 'Salt to taste', 'to taste Red chilli powder', '1/2 tsp Turmeric powder', '1 tsp Coriander Powder']",https://food.ndtv.com/recipe-aloo-do-pyaza-956131
Aloo Gobi Recipe,55 mins,10 mins,45 mins,2.0,Medium,"['700 Gram cauliflower', '2 pieces potatoes, large', '200 gram fresh fenugreek', '4 tbsp mustard oil', '1 tsp black mustard sedds', '1 tsp cumin seeds', '12  curry leaves, blanched', '5 gram ginger, finely chopped', 'to taste salt', '2 medium green chillies, finely chopped', '1 tsp lemon juice', '1 tsp mango powder, peeled', '30 gram fresh pomegranate']",https://food.ndtv.com/recipe-aloo-gobi-776200
Aloo Jeera Recipe,35 mins,10 mins,25 mins,4.0,Easy,"['200 gms potatoes', '50 ml oil', '250 gms onions', '10 gms cumin seeds', '20 gms ginger', '30 gms garlic', '10 gms turmeric', '20 gms red chilli powder', '5 gms garam masala', '20 gms coriander powder', '10 gms coriander leaves', 'to taste salt']",https://food.ndtv.com/recipe-aloo-jeera-218322
Aloo Kulcha Recipe,30 mins,15 mins,15 mins,2.0,Easy,"['120 Gram Atta', '125 gram Maida', '1/4 tsp Baking Soda', '3 tsp Ghee', '2 tbsp Yoghurt', '1 tsp Sugar', '1 tsp Salt', '1/2 cup Water (for kneading the dough)', '1-2 tsp Sesame Seeds', 'For Kulcha Stuffing', '3  Boiled potatoes', '1 tsp Green Chillies (Chopped)', '1/2 tsp Garam Masala', '2 tbsp Chopped coriander leaves']",https://food.ndtv.com/recipe-aloo-kulcha-956979
Aloo Matar Rasedaar Recipe,40 mins,10 mins,30 mins,4.0,Easy,"['2 Cups potatoes (cubed), boiled', '2 cups green peas (shelled)', '3-4  Green chillies (slit a little)', 'For the Gravy:', '250 gms onions (ground with garlic & ginger), chopped', '1 tsp garlic cloves, peeled', '1 tsp ginger, chopped', '125 gms tomato (or 1/4 cup puree), grated', '1/4 cup oil', '2 tsp cumin seeds', '2  Bay leaves', '1/2 tsp turmeric', '1 tbsp salt', '1/2 tsp garam masala', '1/2 tsp pepper, powdered', '1 tbsp coriander seeds, powdered', '1 tbsp coriander leaves (for garnish), chopped']",https://food.ndtv.com/recipe-aloo-matar-rasedaar-219523
Aloo Palak Paratha Recipe,30 mins,10 mins,20 mins,2.0,Easy,"['For the dough:', '1 ½  cup whole wheat flour (gehu ka atta)', '1/2 cup plain flour (maida)', '1 tsp salt', '2 tbsp ghee', 'Warm water for kneading', 'For the filling:', '1/2 kg potatoes, boiled and mashed', '1 cup spinach, finely chopped', '1  onion, finely chopped', '4  garlic cloves, crushed', '2  cheese cubes (optional)', '2 tsp chilli powder', '2 tsp chaat masala', '1 tsp amchur powder', 'Salt to taste', '1 tbsp oil/ ghee', 'Oil/Ghee for roasting the parathas', 'Butter for topping']",https://food.ndtv.com/recipe-aloo-palak-paratha-958119
Aloo Paratha Recipe,30 mins,10 mins,20 mins,2.0,Easy,"['250 gm whole wheat flour', 'Pinch of salt', '1 cup water', '50 ml oil', 'For the filling:', '500 gm potatoes', '20 gm coriander leaves', '20 gm ginger garlic paste', '75 gm onions', '5 gm green chillies', '5 gm turmeric', '5 gm chilli powder', '10 ml lime juice', 'Oil for frying']",https://food.ndtv.com/recipe-aloo-paratha-487816
Aloo Poha Recipe,20 mins,10 mins,10 mins,2.0,Easy,"['2  Boiled Potatoes', '2  Chopped onions', '200 gram Poha', '2  Chopped Green Chillies', '1/2 tbsp Mustard Seeds', '5-6  Curry leaves', '2 tbsp Peanuts', '2 tbsp Oil', '1 tsp Haldi Powder', 'to taste Salt']",https://food.ndtv.com/recipe-aloo-poha-955398
Aloo ka Halwa Recipe,20 mins,05 mins,15 mins,4.0,Easy,"['3 large potatoes, boiled', '1 Tbsp ghee', '1/2 cup sugar', '1/2 cup milk', '1/2 Tbsp cashews chopped & lightly roasted', '1/4 Tbsp almonds flaked or chopped', 'A pinch of cardamom powder', '1/2 Tbsp raisins']",https://food.ndtv.com/recipe-aloo-ka-halwa-673827
Aloo ka Parantha (Vrat) Recipe,35 mins,10 mins,25 mins,5.0,Easy,"['2 cups kootoo ka atta', '1 large potato, boiled, peeled and mashed smooth', '1 tsp senda namak (rock salt)', 'Ghee for frying the paranthas', 'Dry flour for dusting', 'For the filling:', 'Mashed potatoes, with senda namak (rock salt) and chilli powder mixed into it, along with lemon juice, hara dhania (coriander leaves) and green chillies if desired.']",https://food.ndtv.com/recipe-aloo-ka-parantha-vrat-596564
Aloo ka Paratha Recipe,45 mins,20 mins,25 mins,6.0,Intermediate,"['2 Cups Kuttu ka Atta', '1 Large Potato (peeled, mashed smooth), boiled', '1 tsp Rock salt', 'Too knead  Water', 'For frying  Ghee', 'Fpr dusting  Dry flour', '1 Tbsp Coriander leaves', 'To taste Green chillies']",https://food.ndtv.com/recipe-aloo-ka-paratha-98929
Aloo ki Jalebi Recipe,20 mins,10 mins,10 mins,2.0,Easy,"['200 Gram Flour', '2 medium Boiled potatoes', '1/2 cup Curd', '1/4 tbsp Fruit salt', 'Oil for frying', 'A pinch of Saffron', '1/4 tsp Cardamom powder']",https://food.ndtv.com/recipe-aloo-ki-jalebi-955158
Aloo ki Khichdi Recipe,30 mins,10 mins,20 mins,2.0,Easy,"['1 Cup Parsai ke chawal', '2 tbsp Ghee', '1 tsp Cumin seeds', '2  Cloves', '2  Green cardamoms', 'Cinnamon (broken to pieces)', '1 large Potato (diced small)', '2 tsp Rock salt', '1/2 tsp Chilli powder', '3 cups Water', 'For garnishing  Coriander leaves']",https://food.ndtv.com/recipe-aloo-ki-khichdree-1-495673
Amritsari Chicken Masala Recipe,55 mins,15 mins,40 mins,4.0,Difficult,"['For Marination:', '500 gms chicken', '2 tsp ginger garlic Paste', '3 tsp curd', '1 tsp lemon Juice', '1 tsp vinegar', '1 tsp coriander powder', '1 tsp cumin powder', '1 tsp red chilli powder', '1 tsp salt', '2 tsp onion, chopped', 'For Gravy:', '2 tsp butter', '1 tsp red chilli powder', '1 tsp coriander powder', '1 tsp cumin powder, chopped', '1 tsp ginger', '1/2 cup water', '1 tsp salt', '1  Green chilli', '6  Tomatoes', '1/2  tsp sugar', '3 tsp butter', '3 tsp cream']",https://food.ndtv.com/recipe-amritsari-chicken-masala-951152
Amritsari Kulcha Recipe,55 mins,10 mins,45 mins,20.0,Easy,"['For the dough:', '1 kg refined flour', '400 ml water (add more if needed) (kneed all together for pliable dough)', 'A pinch of salt (optional)', '100 ml canola oil', 'For the filling:', '1 cup onion, chopped', '1/2 kg potatoes (crushed), boiled', '2 tsp ccoriander seeds (crushed), roasted', '2 tsp ginger, chopped', '2-3  green coriander sprigs, chopped', '1  green chilli, chopped', '1 tbsp anaar dana seed (crushed)', 'Lemon juice']",https://food.ndtv.com/recipe-amritsari-kulcha-701525
Amritsari Magaz Masala Recipe,1 hr 20 mins,20 mins,1 hr,2.0,Medium,"['7-8 Pieces lamb brain (magaz)', '44  onions, finely chopped', '1 cup melon seeds, peeled', '3-4 tbsp oil', 'Water', 'For the Tomato-Onion Mixture:', '3  tomatoes, finely chopped', '1  onion, finely chopped', '1 tbsp desi ghee', '6-8  garlic cloves, finely chopped', '1/2 inch piece ginger, finely chopped', 'A pinch of salt', 'A pinch of red chilli powder', '1/2 tsp cumin powder', 'For the Gravy:', '5-6  green chillies', '2 1/2 tsp garlic paste', '1 tsp ginger paste', '1 tbsp desi ghee', 'Onion paste (half of what you have made)', 'Melon seed paste', 'A pinch of salt and white pepper', 'butter cubes', '4  garlic cloves, chopped', '2 tsp cumin powder', '2 tsp turmeric powder', 'Tomato-onion mixture', '1 tsp red chilli powder', '1/2 tsp lime juice', '1/2 tsp kasoori methi', 'Coriander leaves for garnish']",https://food.ndtv.com/recipe-amritsari-magaz-masala-294820
Amritsari Murgh Makhani Recipe,1 hr 20 mins,10 mins,1 hr 10 mins,4.0,Medium,"['For the marination:', '500 gram Chicken pieces (boneless)', '2 tsp Ginger paste', '2 tsp Garlic paste', '3 tsp Sour curd', '1 tbsp Lemon juice', '2 tsp Vinegar', '1 tsp Coriander powder', '1 tsp Cumin powder', '1/2  Onion, chopped', '1 1/2 tsp Red chilli powder', 'to taste Salt', 'For the gravy:', '6  Tomatoes', '1 1/2 tbsp Butter', '1 tsp Red chilli powder', '1 tsp Ginger , finely chopped', '1  Green chilli , finely chopped', '1/4 tsp Orange color', '2 1/2 tbsp Fresh cream', '1 tsp Coriander powder', '1 tsp Cumin powder', '1 tsp Sugar', 'to taste Salt', 'For garnishing:', '2  Green chilies, chopped', '1 tbsp Butter', '2 tbsp Fresh cream', 'Fresh coriander leaves']",https://food.ndtv.com/recipe-amritsari-murgh-makhani-241118
Amritsari Sookhi Dal Recipe,30 mins,10 mins,20 mins,3.0,Easy,"['1 Cup urad dal', '1  onion, finely chopped', '2  tomatoes, chopped', '2  green chilies, finely chopped', '1 tsp cumin seeds', '1/2 tsp turmeric powder', '1/2 tsp red chili powder', '1 tsp garam masala', 'Salt to taste', '2 tbsp oil or ghee', 'Fresh coriander leaves for garnish', '1 tsp lemon juice']",https://food.ndtv.com/recipe-amritsari-sookhi-dal-958430
Anarse ki Goli Recipe,55 mins,10 mins,45 mins,2.0,Medium,"['1 Cup Chawal ka atta', '2 tbsp Ghee', '1 cup Gur ki shakkar', '1 tsp Meetha soda', '2 tbsp White sesame seeds (safed til)', '1 tsp Saunf , powdered', '2 tbsp Dahi', 'To deep fry  Ghee']",https://food.ndtv.com/recipe-anarse-ki-goli-fried-sweet-balls-made-of-riceflour-2-567229
Ancient Grain Upma Recipe,25 mins,10 mins,15 mins,2.0,Easy,"['30 ml  Coconut oil', '5 gm  Mustard seeds', '10 gm  Curry leaves', '2  Red Kashmiri chilli, whole dried', '10  Madras shallots, peeled and sliced', '1 inch  Ginger, chopped', '50 gm  Jowar', '50 gm  Bajra', '50 gm  Nachni', '15 gm  Toasted cashew nut', '10 gm  Soaked raisins', '40 gm  Green peas', '50 gm  Coconut, toasted, shredded or grated', '150 ml  Coconut cream or coconut milk', 'Salt and sugar, to taste']",https://food.ndtv.com/recipe-ancient-grain-upma-957854
Andhra Crab Meat Masala Recipe,1 hr,15 mins,45 mins,4.0,Medium,"['200 gms processed crab meat', '60 gms refined oil', '2 gram curry leaves', '10 gms garlic, chopped', '6 gram green chilli', '40 gms onion, chopped', '15 gms ginger-garlic paste', '10 gms coriander, chopped', '1 gram coriander powder', '1 gram cumin powder', '1 gram turmeric powder', '1  garam masala powder', '3 gram Kashmiri chilli powder', '2 gram salt', '1  Lemon', '80 gms chop masala', '20 gms tomato, chopped']",https://food.ndtv.com/recipe-andhra-crab-meat-masala-953916
Andhra Pan Fried Pomfret Recipe,40 mins,20 mins,20 mins,2.0,Easy,"['300 gms white pomfret fish', '3 tsp sunflower refined ooil', '1 tsp red chilli powder', '1 tsp salt', '1 tsp turmeric powder', '1 tsp ginger-garlic paste', '2  Lemon (juiced)', '1 tsp cumin powder', '1 tsp coriander powder', '1 tsp garam masala', '2  Green chilli', '1 gram curry leaves', '2 gram coriander, chopped']",https://food.ndtv.com/recipe-andhra-pan-fried-pomfret-953919
Andhra Style Chicken Curry Recipe,55 mins,20 mins,35 mins,4.0,Easy,"['3 Tbsp refined oil', '1  Bay leaf', '3  Green cardamom', '3  Cloves', '1 small cinnamon stick', '1  onion, sliced', '1 tbsp ginger-garlic paste', '1/2 kg chicken (cut into bite size pieces)', '1 tsp turmeric', 'to taste salt', '2 cups water', '2  Green chillies (slit)', 'Handful of curry leaves', '2 tsp red chilli powder', '2 tbsp cashew nuts - poppy seed paste (Soak 15 cashews and 1 Tbsp poppy seed in a cup of milk for an hour. Grind it into a paste.)', '2 tsp chicken masala', '2 tsp kasoori methi', '1 tsp garam masala', '2 tsp dhaniya powder', 'for garnishing coriander leaves, chopped']",https://food.ndtv.com/recipe-andhra-style-chicken-curry-351778
Andhra Style Guntur Idli Recipe,25 mins,10 mins,15 mins,2.0,Easy,"['5-6  steamed idlis', '7-8  guntur chilies', '11/2 Tbsp tur dal', '11/2 Tbsp chana dal', '11/2 Tbsp urad dal', '1-2 Tbsp coriander seeds', '1  sesame seeds', '1 tsp black pepper or pepper powder', '1 tsp cumin seeds', 'Pinch of hing', 'Salt as per taste', '1 small piece tamarind']",https://food.ndtv.com/recipe-andhra-style-guntur-idli-957949
Andhra-Style Tomato Chutney Recipe,15 mins,05 mins,10 mins,,Easy,"['4  tomatoes, chopped', '1  onion, chopped', '1/2 tsp haldi', '1 tsp red chilli powder', '2-3  green chillies', '1-2  garlic cloves', '1/2 tsp jeera', '1/2  coriander seeds', '1 tsp urad dal', '1 tsp mustard seeds', '2-3 tbsp oil', 'Salt to taste', 'A handful of curry leaves', '1 tbsp  tamarind paste']",https://food.ndtv.com/recipe-andhra-style-tomato-chutney-958089
Angoor Rabdi Recipe,50 mins,05 mins,45 mins,2.0,Easy,"['5 cups (1 kg) full cream milk', '1/2 cup sugar', '4-5 green cardamoms', '12-15 almonds - blanched and shredded', '2 Tbsp pistachio - blanched and shredded', '1 cup grapes - washed and stalks removed (green or black)']",https://food.ndtv.com/recipe-angoor-rabri-219765
Anjeer Kaju Roll Recipe,50 mins,15 mins,35 mins,2.0,Medium,"['1 Kg cashew nuts', '500 gms figs', '500 gms sugar', '100 gms pistachio', '10 gms green cardamom powder', '1/2 gms saffron', '25 gms honey', '100 gms beetroot juice']",https://food.ndtv.com/recipe-anjeer-kaju-roll-952786
Anjeer Ki Barfi Recipe,35 mins,10 mins,25 mins,5.0,Easy,"['1 Cup anjeer', '2 tbsp khus khus', '17-18   Cashewnuts', 'For Making Barfi:', '1 tsp ghee', '1/2 cup condensed milk', '1/2 tsp cardamom powder']",https://food.ndtv.com/recipe-anjeer-ki-barfi-951688
Annanas Aur Kalonji Ki Gujiya Recipe,30 mins,15 mins,15 mins,4.0,Easy,"['To Fry  Ghee/Oil', '500 gram Maida (All purpose flour)', '6 tbsp Oil / Ghee (melted)', 'For Filling:', '1 kilograms Pineapple', '10 gram Kalonji', '200 gram Khoya', '1/2 tsp Green Cardamom powder', '25 gram Almonds, chopped', '25 gram Cashew nuts, chopped', '25 gram Raisins', '25 gram Dried coconut, shredded', '100 gram Sugar']",https://food.ndtv.com/recipe-annanas-aur-kalonji-ki-gujiya-956555
Appam: Rice and Coconut Pancake Recipe,25 mins 10 seconds,10 seconds,25 mins,5.0,Medium,"['1 cup rice', '2 cups dessicated coconut', '3 Tbsp sugar', '1/2 tsp yeast', 'Salt']",https://food.ndtv.com/recipe-appam-rice-and-coconut-pancake-617673
Apple Jalebi With Gulab Ice-Cream Recipe,50 mins,10 mins,40 mins,4.0,Medium,"['For apple jalebi:', '2 medium apples', '1 cup refined flour', '1 cup + 1 tsp sugar', 'A few saffron strands', 'Ghee for deep-frying', '1/4 tsp green cardamom powder', '1/2 tsp dry yeast', '1 tsp rose water', 'Sliced pistachios for garnishing', 'Fresh rose petals for garnishing', 'For gulab ice-cream:', '100 gms fresh rose petals', '200 ml vanilla ice cream', '2-3 Tbsp rose petal jam (gulkand)', '3/4 cup chopped pistachios and almonds']",https://food.ndtv.com/recipe-apple-jalebi-with-gulab-ice-cream-585468
Apple Kheer Recipe,55 mins,10 mins,45 mins,2.0,Easy,"['2  Apples', '1/2 cup basmati rice, boiled', '50 gms nuscovado sugar (you can also use normal sugar)', '60 gms cashew nuts and almonds', '1   Cassia bark or cinnamon stick', 'to taste red grapes']",https://food.ndtv.com/recipe-apple-kheer-438442
Apple Rabdi Recipe,55 mins,20 mins,35 mins,4.0,Easy,"['3 Medium Apples', '1 litre Milk', '4 tbsp Sugar', '1/4 tsp Green cardamoms', '8-10  Almonds (blanched), sliced', '8-10  Pistachios (blanched), sliced']",https://food.ndtv.com/recipe-apple-rabdi-952636
Arbi Kaju Ki Tikki Recipe,45 mins,10 mins,35 mins,2.0,Medium,"['200 Gram Arbi', '50 gram Cashew', '2 nos Green chillies', 'to taste Sendha namak', '100 ml Ghee', 'To garnish  Fresh coriander']",https://food.ndtv.com/recipe-arbi-kaju-ki-tikki-952175
Ariselu Recipe,1 hr 30 mins,15 mins,1 hr 15 mins,2.0,Medium,"['1/2 Cup rice', '1/2 cup jaggery', '1 cup water', '1 tsp cardamom powder', '1 tbsp ghee', 'Oil (to deep fry)', 'for garnishing sesame seeds']",https://food.ndtv.com/recipe-ariselu-952788
Arisi Tengaay Payasam Recipe,40 mins 10 seconds,10 mins 10 seconds,30 mins,2.0,Easy,"['150 gm raw rice', '250 - 300 gm jaggery', '25 - 50 gm poppy seeds (optional)', '1 big coconut, finely grated', 'A pinch cardamom, finely powdered', 'Raisins, for garnishing']",https://food.ndtv.com/recipe-arisi-tengaay-payasam-295747
